线路,类型,站点重叠,本地站数,车来了站数,本地起讫,车来了起讫
241路,一端相同,46,37-37,18-18,同德围总站 ⇄ 金湖雅苑总站,云台花园总站 ⇄ 金湖雅苑总站
南沙旅游1路,一端相同,46,13-14,13-13,十九涌站 ⇄ 邮轮母港公交总站,邮轮母港公交总站 ⇄ 大湾区文化体育中心公交总站
704路,一端相同,47,36-37,28-29,石马总站 ⇄ 两龙总站,人和（时代云来）总站 ⇄ 两龙总站
743路,一端相同,47,19-19,17-17,汇侨新城总站 ⇄ 百顺北路(岭南新世界)总站,百顺北路（岭南新世界）总站 ⇄ 百顺北路（岭南新世界）总站
夜47路,一端相同,47,30-33,14-15,同和总站 ⇄ 天坤三路总站,体育中心 ⇄ 同和①
从907路,一端相同,50,6-7,4-4,沙迳村委 ⇄ 鳌头客运站,鳌头公交总站 ⇄ 沙迳村委站
259路,一端相同,53,31-32,22-22,嘉禾长湴总站 ⇄ 罗冲围总站(松南路),罗冲围（松南路）总站 ⇄ 广花一路（夏花一路口）总站
701路,一端相同,53,39-40,28-30,太营路口总站 ⇄ 汇通广场总站,人和（恒充充电站）总站 ⇄ 汇通广场总站
B4B路,一端相同,53,17-20,19-19,体育中心 ⇄ 沐陂村总站,沐陂村总站 ⇄ 沐陂村总站
B6路快线,一端相同,53,30-33,21-21,同和路总站 ⇄ 汇彩路,体育中心BRT总站3 ⇄ 同和路（蓝山花园）总站
南沙1路,一端相同,55,25-29,17-18,广州船坞总站 ⇄ 蕉门公交总站,大涌公交总站 ⇄ 广州船坞总站
703路,一端相同,56,48-49,30-30,机场路总站 ⇄ 荔红路总站,广师大（白云校区）总站 ⇄ 荔红路总站
929路,一端相同,58,24-27,23-26,白云文化广场总站 ⇄ 石井大道北,三元里大道（阅云台）总站 ⇄ 石井大道北
B6路,一端相同,58,36-36,21-21,同和路总站 ⇄ 汇彩路总站,体育中心BRT总站3 ⇄ 同和路（蓝山花园）总站
320路,一端相同,59,37-37,35-36,大沙东总站 ⇄ 思蕴路总站,奥林匹克体育中心总站 ⇄ 大沙东（广州航海学院）总站
550路,一端相同,59,22-25,19-20,东圃珠村总站 ⇄ 兴民路总站,琶洲保利总站 ⇄ 东圃珠村总站
480路,起讫相同,29,24-24,13-13,北站总站 ⇄ 北站总站,北站（三元里大道）总站 ⇄ 北站（三元里大道）总站
番63路,起讫相同,40,10-10,7-7,化龙车站 ⇄ 化龙车站,化龙车站 ⇄ 化龙车站
番155路,起讫相同,50,14-14,11-11,沙北村总站 ⇄ 沙北村总站,沙北村总站 ⇄ 沙北村总站
增城53路,起讫相同,54,13-14,13-13,花山村 ⇄ 西河村,花山村 ⇄ 西河村
增城16路,起讫相同,60,44-47,50-51,增城广场地铁总站 ⇄ 白水寨总站,增城广场地铁总站 ⇄ 白水寨总站
