家族,站A,站B,距离m,同方向共站,共线数,判定,ID-A,ID-B
花都广场,花都广场,花都广场(区政府),607,是,0,应分开(同方向共站),BV10016943,BV11550145
节能科技园,节能科技园,节能科技园总站,606,是,2,应分开(同方向共站),BV10014702,BV10386996
碧山村,碧山村,碧山村总站,606,是,1,应分开(同方向共站),BV09005647,BV10018135
北山,北山,北山总站,604,是,1,应分开(同方向共站),BV10013862,BV10541319
黄石路,黄石路总站,黄石路2,601,是,1,应分开(同方向共站),BV10018538,BV09408943
玲洲,玲洲总站,玲洲,590,是,1,应分开(同方向共站),BV10387111,BV11487751
莲花山港,莲花山港,莲花山港总站,581,是,1,应分开(同方向共站),BV10019765,BV10023192
白兔村路口,白兔村路口1,白兔村路口2,573,是,3,应分开(同方向共站),BV11028709,BV11028710
黄石路,黄石路1,黄石路总站,572,是,1,应分开(同方向共站),BV09351558,BV10018538
民安村,民安村,民安村站2,545,是,1,应分开(同方向共站),BV10022356,BV11442875
人和墟,人和墟,人和墟总站,536,是,1,应分开(同方向共站),BV11689355,BV10014381
槎头,槎头,槎头1,527,是,3,应分开(同方向共站),BV11687842,BV09200026
万科海上明月,万科海上明月,万科海上明月总站,521,是,2,应分开(同方向共站),BV11443817,BV11625830
誉山国际五区,誉山国际五区,誉山国际五区总站,516,是,1,应分开(同方向共站),BV11244693,BV11380372
晓港湾,晓港湾,晓港湾总站,480,是,2,应分开(同方向共站),BV11688514,BV10018550
桥东小区,桥东小区,桥东小区总站,473,是,1,应分开(同方向共站),BV11688504,BV10022284
瑞东花园,瑞东花园站,瑞东花园总站,454,是,2,应分开(同方向共站),BV11619529,BV11426724
人和墟,人和墟,人和墟2,433,是,13,应分开(同方向共站),BV11689355,BV09212864
坑头村,坑头村站,坑头村总站,431,是,1,应分开(同方向共站),BV11130508,BV11171750
广东国防教育基地,广东国防教育基地总站,广东国防教育基地,420,是,2,应分开(同方向共站),BV10976452,BV09237932
福上下社,福上下社1,福上下社2,416,是,2,应分开(同方向共站),BV11352299,BV11352300
茶滘路,茶滘路,茶滘路总站,408,是,2,应分开(同方向共站),BV11167618,BV10331027
泮塘,泮塘,泮塘总站,402,是,3,应分开(同方向共站),BV10022283,BV10021910
园坛岭路,园坛岭路总站,园坛岭路,397,是,1,应分开(同方向共站),BV10388955,BV11477130
员村一横路,员村一横路总站,员村一横路,382,是,4,应分开(同方向共站),BV10013630,BV10022311
赤岗路口,赤岗路口2,赤岗路口,379,是,9,应分开(同方向共站),BV09317596,BV09005990
南星汤屋社,南星汤屋社1,南星汤屋社2,368,是,2,应分开(同方向共站),BV11359303,BV11359304
奥体南路,奥体南路站,奥体南路总站,360,是,2,应分开(同方向共站),BV11279578,BV11388273
纸厂,纸厂,纸厂总站,354,是,2,应分开(同方向共站),BV09347832,BV10021944
天坤三路,天坤三路站,天坤三路总站,343,是,5,应分开(同方向共站),BV11609227,BV11564624
新华工业区,新华工业区2,新华工业区1,333,是,1,应分开(同方向共站),BV11554334,BV11547976
电视塔,电视塔,电视塔2,329,是,6,应分开(同方向共站),BV09239569,BV09226125
鱼珠码头,鱼珠码头站,鱼珠码头总站,320,是,1,应分开(同方向共站),BV11361606,BV10018096
珠岛花园,珠岛花园,珠岛花园总站,318,是,3,应分开(同方向共站),BV10803702,BV10016165
新市墟,新市墟1,新市墟2,310,是,8,应分开(同方向共站),BV09226083,BV09226067
水秀二路,水秀二路总站,水秀二路站,304,是,2,应分开(同方向共站),BV11615374,BV11615375
荔勤南路,荔勤南路,荔勤南路总站,303,是,1,应分开(同方向共站),BV09149595,BV09234523
奥园广场,奥园广场,奥园广场总站,301,是,1,应分开(同方向共站),BV10019915,BV10019864
广汕路(科景路口),广汕路(科景路口),广汕路(科景路口)总站,288,是,4,应分开(同方向共站),BV09066404,BV09070817
柯子岭,柯子岭总站3,柯子岭,286,是,1,应分开(同方向共站),BV09370170,BV11688535
中山八路,中山八路1,中山八路总站,285,是,2,应分开(同方向共站),BV09213747,BV10014194
中山八路,中山八路总站,中山八路2,280,是,2,应分开(同方向共站),BV10014194,BV09167549
中山八路,中山八路总站,中山八路,280,是,1,应分开(同方向共站),BV10014194,BV11688465
棠下(三元里大道),棠下(三元里大道)1,棠下(三元里大道)2,255,是,4,应分开(同方向共站),BV09172231,BV09169835
叠溪花园,叠溪花园,叠溪花园总站,244,是,1,应分开(同方向共站),BV11118929,BV09359809
华工大,华工大,华工大总站,241,是,2,应分开(同方向共站),BV11485000,BV10017909
百顺北路,百顺北路总站,百顺北路,240,是,1,应分开(同方向共站),BV11655931,BV11482221
景泰坑,景泰坑,景泰坑总站,235,是,1,应分开(同方向共站),BV11088401,BV10405864
花林湖畔,花林湖畔,花林湖畔总站,231,是,2,应分开(同方向共站),BV11308175,BV11335401
如意坊,如意坊2,如意坊,230,是,7,应分开(同方向共站),BV09382089,BV11357695
科韵路,科韵路,科韵路总站,229,是,2,应分开(同方向共站),BV11689853,BV10022018
桥中,桥中,桥中1,226,是,3,应分开(同方向共站),BV09003001,BV11163379
花地大道,花地大道,花地大道站1,226,是,6,应分开(同方向共站),BV09001039,BV09304066
广州大道南(叠景路口),广州大道南(叠景路口)1,广州大道南(叠景路口)2,223,是,14,应分开(同方向共站),BV09183567,BV09184938
西塱,西塱2,西塱站,221,是,2,应分开(同方向共站),BV09177350,BV11687844
景泰直街,景泰直街,景泰直街总站,219,是,2,应分开(同方向共站),BV10017948,BV10018324
新市墟,新市墟1,新市墟,215,是,1,应分开(同方向共站),BV09226083,BV11687839
云台花园,云台花园3,云台花园总站,213,是,1,应分开(同方向共站),BV09364566,BV10014637
锦城花园,锦城花园,锦城花园总站(东风东),213,是,0,应分开(同方向共站),BV11171452,BV10014572
金沙洲大桥西,金沙洲大桥西2,金沙洲大桥西,209,是,10,应分开(同方向共站),BV09010639,BV10713669
桥中,桥中站1,桥中,205,是,14,应分开(同方向共站),BV09376898,BV09003001
桥中,桥中,桥中总站,205,是,2,应分开(同方向共站),BV09003001,BV11225789
远景路,远景路1,远景路,200,是,7,应分开(同方向共站),BV09168358,BV11688397
中堂路口,中堂路口,中堂路口2,200,是,2,应分开(同方向共站),BV10262823,BV11670857
陈家祠,陈家祠,陈家祠1,198,是,3,应分开(同方向共站),BV11596161,BV09271075
棠溪,棠溪站1,棠溪站3,193,是,4,应分开(同方向共站),BV11562315,BV09045365
金沙洲路,金沙洲路2,金沙洲路3,191,是,2,应分开(同方向共站),BV11329134,BV09010641
芳村大道西,芳村大道西,芳村大道西1,190,是,10,应分开(同方向共站),BV11688499,BV09304064
云台花园,云台花园2,云台花园总站,186,是,1,应分开(同方向共站),BV09364271,BV10014637
西湾路,西湾路1,西湾路,183,是,2,应分开(同方向共站),BV09269673,BV09000494
白鳝塘,白鳝塘,白鳝塘总站,182,是,1,应分开(同方向共站),BV10015680,BV10019304
高铁庆盛,高铁庆盛站,高铁庆盛站1,180,是,1,应分开(同方向共站),BV09394481,BV09410623
云台花园,云台花园总站,云台花园,179,是,2,应分开(同方向共站),BV10014637,BV11371562
南双玉村,南双玉村,南双玉村总站,175,是,1,应分开(同方向共站),BV11688132,BV10019952
石碁文化广场,石碁文化广场,石碁文化广场总站,174,是,3,应分开(同方向共站),BV10832137,BV11139586
云台花园,云台花园1,云台花园总站,163,是,1,应分开(同方向共站),BV09373903,BV10014637
新丰路口,新丰路口2,新丰路口1,163,是,4,应分开(同方向共站),BV09209215,BV09235566
洛溪新城,洛溪新城,洛溪新城总站,162,是,2,应分开(同方向共站),BV11688563,BV10016556
小坪,小坪1,小坪2,161,是,9,应分开(同方向共站),BV09226064,BV09209209
小坪,小坪1,小坪,158,是,1,应分开(同方向共站),BV09226064,BV11688428
金沙洲路,金沙洲路,金沙洲路1,156,是,1,应分开(同方向共站),BV11688450,BV09369963
蕉门地铁,蕉门地铁站,蕉门地铁总站,155,是,1,应分开(同方向共站),BV10014705,BV11580784
沙涌,沙涌,沙涌2,152,是,7,应分开(同方向共站),BV10713660,BV09167550
体育中心,体育中心,体育中心总站,150,是,1,应分开(同方向共站),BV11688545,BV10018645
西塱,西塱1,西塱站,150,是,1,应分开(同方向共站),BV09178250,BV11687844
联和,联和1,联和2,148,是,10,应分开(同方向共站),BV11637999,BV09226063
南方医院,南方医院,南方医院总站,147,是,1,应分开(同方向共站),BV11688389,BV10021222
富力半岛花园,富力半岛花园1,富力半岛花园,147,是,3,应分开(同方向共站),BV10461190,BV09006431
罗冲围客运,罗冲围客运站,罗冲围客运站2,136,是,9,应分开(同方向共站),BV10013779,BV11675544
机场路岗贝路口,机场路岗贝路口,机场路岗贝路口1,127,是,2,应分开(同方向共站),BV11688420,BV09226068
嘉禾望岗,嘉禾望岗总站,嘉禾望岗站,124,是,13,应分开(同方向共站),BV09408554,BV09408343
星汇金沙二期,星汇金沙二期总站,星汇金沙二期,123,是,1,应分开(同方向共站),BV10654281,BV11358286
先烈南路,先烈南路,先烈南路总站,118,是,1,应分开(同方向共站),BV10016425,BV11609613
华海大厦,华海大厦,华海大厦1,114,是,12,应分开(同方向共站),BV10015713,BV09317631
赤岗,赤岗总站,赤岗,111,是,1,应分开(同方向共站),BV10021665,BV11688338
三元里大道中,三元里大道中站,三元里大道中2,111,是,8,应分开(同方向共站),BV11687945,BV09164965
琶洲大桥北,琶洲大桥北,琶洲大桥北总站,110,是,1,应分开(同方向共站),BV11688358,BV10580172
城西花园,城西花园,城西花园2,110,是,1,应分开(同方向共站),BV11688445,BV09302293
城建学院,城建学院,城建学院总站,106,是,1,应分开(同方向共站),BV10022844,BV10019407
濂泉路口,濂泉路口1,濂泉路口,105,是,1,应分开(同方向共站),BV09318948,BV11688393
悦云路口,悦云路口,悦云路口总站,104,是,1,应分开(同方向共站),BV09345881,BV09327367
桂花岗,桂花岗站2,桂花岗,100,是,5,应分开(同方向共站),BV09394525,BV10016229
夏茅,夏茅,夏茅总站,98,是,1,应分开(同方向共站),BV11688462,BV10896410
万科四季花城,万科四季花城总站,万科四季花城总站,94,是,5,应分开(同方向共站),BV11557348,BV10015230
瀛洲生态公园,瀛洲生态公园,瀛洲生态公园总站,94,是,1,应分开(同方向共站),BV09273926,BV10022466
荔湾路,荔湾路2,荔湾路,91,是,1,应分开(同方向共站),BV09162065,BV09374429
西湾路,西湾路,西湾路总站,90,是,2,应分开(同方向共站),BV09000495,BV10723493
克山,克山1,克山,89,是,1,应分开(同方向共站),BV09377937,BV11102072
万胜围,万胜围站,万胜围总站,88,是,2,应分开(同方向共站),BV10420826,BV11011363
科学大道口,科学大道口,科学大道口2,87,是,12,应分开(同方向共站),BV11687887,BV09212867
客村立交,客村立交1,客村立交2,86,是,6,应分开(同方向共站),BV09377600,BV09377599
沙北村,沙北村,沙北村总站,82,是,1,应分开(同方向共站),BV10019770,BV11488014
和平新村,和平新村2,和平新村1,81,是,9,应分开(同方向共站),BV09238796,BV09238795
西塱,西塱2,西塱1,81,是,3,应分开(同方向共站),BV09177350,BV09178250
丹水坑,丹水坑,丹水坑2,81,是,1,应分开(同方向共站),BV11687861,BV09227576
南洲花园,南洲花园,南洲花园总站,80,是,1,应分开(同方向共站),BV10014358,BV10019474
南悦花苑,南悦花苑总站,南悦花苑,77,是,6,应分开(同方向共站),BV10828444,BV11154136
神山,神山,神山总站,76,是,2,应分开(同方向共站),BV09000493,BV10013876
南岗,南岗,南岗总站,74,是,4,应分开(同方向共站),BV11687851,BV10017343
九龙镇政府,九龙镇政府总站,九龙镇政府,60,是,1,应分开(同方向共站),BV10013784,BV10555852
革新路口,革新路口,革新路口1,59,是,10,应分开(同方向共站),BV09006413,BV09314790
横滘,横滘,横滘1,59,是,10,应分开(同方向共站),BV09000553,BV09307684
沙面新城,沙面新城,沙面新城总站,59,是,1,应分开(同方向共站),BV09376900,BV10393856
芳村,芳村,芳村1,56,是,11,应分开(同方向共站),BV11688439,BV09177348
荔湾路口,荔湾路口1,荔湾路口2,55,是,7,应分开(同方向共站),BV09271782,BV11164816
江湾桥南,江湾桥南1,江湾桥南2,54,是,15,应分开(同方向共站),BV09359515,BV09172266
动物园,动物园1,动物园总站,53,是,1,应分开(同方向共站),BV09340465,BV10014264
广东外贸学校,广东外贸学校,广东外贸学校1,50,是,1,应分开(同方向共站),BV10014439,BV09400828
白云宾馆,白云宾馆,白云宾馆2,47,是,1,应分开(同方向共站),BV11009137,BV09226118
丽江花园,丽江花园总站,丽江花园,40,是,2,应分开(同方向共站),BV10015192,BV10015193
逸景翠园,逸景翠园总站,逸景翠园,39,是,1,应分开(同方向共站),BV10017944,BV09375102
汇景北路,汇景北路总站,汇景北路总站2,36,是,1,应分开(同方向共站),BV10017906,BV09395455
如意坊,如意坊,如意坊总站,35,是,1,应分开(同方向共站),BV11357695,BV10022019
广师大,BRT广师大站,广师大,35,是,2,应分开(同方向共站),BV09403156,BV09397675
小北,小北1,小北2,34,是,16,应分开(同方向共站),BV09226129,BV09226117
太古仓路,太古仓路总站,太古仓路总站2,34,是,1,应分开(同方向共站),BV11318890,BV09245333
珠江医院,珠江医院总站2,珠江医院总站,33,是,1,应分开(同方向共站),BV09245917,BV10021721
南田西,南田西,南田西2,32,是,3,应分开(同方向共站),BV10715984,BV09222640
彩虹桥,彩虹桥1,彩虹桥2,30,是,8,应分开(同方向共站),BV09230293,BV09162064
花地大道,花地大道,花地大道2,30,是,5,应分开(同方向共站),BV09001039,BV09163014
盈丰路,盈丰路,盈丰路总站,29,是,1,应分开(同方向共站),BV11370357,BV10017134
汇侨路,汇侨路总站,汇侨路,29,是,1,应分开(同方向共站),BV11461975,BV10018043
陈田村,陈田村,陈田村2,27,是,3,应分开(同方向共站),BV11688417,BV09163012
荔湾路口,荔湾路口2,荔湾路口,22,是,2,应分开(同方向共站),BV11164816,BV10016144
荔湾路,荔湾路1,荔湾路2,22,是,3,应分开(同方向共站),BV09233339,BV09162065
海珠客运,海珠客运站2,海珠客运站,21,是,13,应分开(同方向共站),BV11196681,BV10015271
华严寺,华严寺,华严寺总站,17,是,1,应分开(同方向共站),BV09313064,BV11430051
中山八路,中山八路1,中山八路2,16,是,6,应分开(同方向共站),BV09213747,BV09167549
中山八路,中山八路1,中山八路,16,是,1,应分开(同方向共站),BV09213747,BV11688465
天健创意园,天健创意园总站,天健创意园,15,是,3,应分开(同方向共站),BV10793675,BV09027379
万科海上明月,万科海上明月站2,万科海上明月,13,是,1,应分开(同方向共站),BV09010681,BV11443817
敦和,敦和3,敦和,8,是,13,应分开(同方向共站),BV09026856,BV11687930
石壁中学,石壁中学总站,石壁中学,4,是,1,应分开(同方向共站),BV11451734,BV10023026
马务,马务,马务2,0,是,10,应分开(同方向共站),BV11688360,BV09226099
同和,同和2,同和,0,是,1,应分开(同方向共站),BV09209226,BV11688408
中山大道东圃,公共汽车中山大道东圃站,中山大道东圃站,0,是,1,应分开(同方向共站),BV09403155,BV09403374
同德围,同德围总站,同德围总站,1195,,0,应分开(远距离无共站),BV10387326,BV09001043
剑岭,剑岭站,剑岭,1168,,0,应分开(远距离无共站),BV09206742,BV11375028
员村,员村总站,员村,1159,,0,应分开(远距离无共站),BV11492234,BV11329585
大干围,大干围,大干围,1159,,0,应分开(远距离无共站),BV11317278,CL100006
龙星村,龙星村1,龙星村,1149,,0,应分开(远距离无共站),BV11352902,BV11543500
花城村卫生,花城村卫生站,花城村卫生站,1131,,1,应分开(远距离无共站),BV11382869,BV09200449
广州大道中,广州大道中,广州大道中1,1126,,1,应分开(远距离无共站),BV10014367,BV09382002
石井(广东兵工厂旧址),石井(广东兵工厂旧址)站,石井(广东兵工厂旧址)站,1096,,0,应分开(远距离无共站),BV09368724,BV09368723
石井,石井总站,石井总站,1096,,0,应分开(远距离无共站),BV09377935,BV10381320
石井,石井总站,石井,1096,,0,应分开(远距离无共站),BV09377935,BV11481130
员村,员村总站,员村总站,1091,,0,应分开(远距离无共站),BV11492234,BV10389050
黄石东,黄石东,黄石东总站,1083,,0,应分开(远距离无共站),BV11481129,BV10013663
广州大道中,广州大道中2,广州大道中,1069,,1,应分开(远距离无共站),BV09230306,BV10014367
员村,员村,员村,1062,,0,应分开(远距离无共站),BV09242192,BV11329585
太和,太和总站,太和,1048,,0,应分开(远距离无共站),BV10019029,BV11628196
横枝岗,横枝岗,横枝岗,1035,,0,应分开(远距离无共站),BV09091397,BV09091110
新和村,新和村,新和村,1012,,0,应分开(远距离无共站),BV10017219,BV10683654
江高,江高,江高总站,1007,,0,应分开(远距离无共站),BV11371426,BV10623355
江高(广技师白云校区),江高(广技师白云校区),江高(广技师白云校区)总站,1007,,0,应分开(远距离无共站),BV11241714,BV09368252
细沥村,细沥村站,细沥村站,996,,2,待甄别,BV10018497,BV09344583
太和,太和总站1,太和,973,,0,待甄别,BV09173927,BV11628196
石榴岗,石榴岗,石榴岗总站,972,,0,待甄别,BV11689397,BV10017833
滘心村,滘心村总站,滘心村,959,,0,待甄别,BV10013686,BV11363020
西二村,西二村,西二村,947,,0,待甄别,BV09372016,BV11220559
芳村大道西,芳村大道西,芳村大道西总站,931,,0,待甄别,BV11688499,BV11035137
华景新城,华景新城总站,华景新城,919,,0,待甄别,BV10016448,BV09244990
乌溪村,乌溪村总站,乌溪村,910,,0,待甄别,BV11269590,BV10014635
东圃,东圃,东圃总站,897,,0,待甄别,BV11688548,BV10019425
齐富路,齐富路总站,齐富路,876,,0,待甄别,BV10021754,BV10022091
华景新城,华景新城总站,华景新城,869,,0,待甄别,BV10016448,BV10014575
碧水新村,碧水新村总站,碧水新村,855,,0,待甄别,BV11491296,BV11116068
西湾路,西湾路2,西湾路总站,852,,0,待甄别,BV09356487,BV10723493
两龙,两龙总站,两龙,771,,0,待甄别,BV09252823,BV11382881
芳村大道西,芳村大道西1,芳村大道西总站,756,,0,待甄别,BV09304064,BV11035137
大罗村,大罗村,大罗村总站,739,,0,待甄别,BV10018776,BV10550331
乌石,乌石,乌石总站,689,,0,待甄别,BV10509689,BV10481248
西湾路,西湾路1,西湾路,619,,0,待甄别,BV09269673,BV09000495
国防大厦,国防大厦3,国防大厦2,614,,6,待甄别,BV09410279,BV09178253
国防大厦,国防大厦2,国防大厦,614,,0,待甄别,BV09178253,BV11688471
海印桥南,海印桥南1,海印桥南,612,,0,待甄别,BV09245639,BV11688474
地铁南沙客运港,地铁南沙客运港站1,地铁南沙客运港站,590,,1,待甄别,BV09067079,BV10979676
地铁南沙客运港,地铁南沙客运港站1,地铁南沙客运港站2,590,,0,待甄别,BV09067079,BV09078984
白天鹅花园,白天鹅花园,白天鹅花园总站,586,,0,待甄别,BV10253340,BV10393581
东华南路,东华南路,东华南路总站,579,,0,待甄别,BV10018549,BV10405857
黄石路,黄石路,黄石路总站,572,,0,待甄别,BV11688426,BV10018538
碧山村,碧山村1,碧山村总站,567,,0,待甄别,BV09072664,BV10018135
彭边村东,彭边村东,彭边村东2,551,,2,待甄别,BV10019310,BV09278981
大岭村,大岭村,大岭村总站,536,,0,待甄别,BV10023070,BV11042907
万科海上明月,万科海上明月站2,万科海上明月总站,533,,1,待甄别,BV09010681,BV11625830
万博中心,万博中心,万博中心总站,532,,0,待甄别,BV11691212,BV10018514
西坑,西坑站,西坑①,531,,2,待甄别,BV11688572,CL100017
鱼珠码头,鱼珠码头站,鱼珠码头,522,,0,待甄别,BV11361606,BV10582110
万科海上明月,万科海上明月2,万科海上明月总站,521,,0,待甄别,BV09078999,BV11625830
广州白云站东广场,广州白云站东广场站,广州白云站东广场总站,518,,0,待甄别,BV09226497,BV09268985
石榴岗,石榴岗总站,石榴岗,507,,0,待甄别,BV10756309,BV11689397
坪地,坪地1,坪地2,502,,1,待甄别,BV11559829,BV11489895
客村立交,客村立交,客村立交1,499,,12,待甄别,BV11688553,BV09377600
祈福新邨,祈福新邨总站,祈福新邨,499,,0,待甄别,BV11018620,BV11373973
永泰集贤路,永泰集贤路总站,永泰集贤路,491,,0,待甄别,BV09066469,BV09070819
宸悦路,宸悦路,宸悦路总站,490,,0,待甄别,BV11013769,BV11357632
永和大道(常春藤),永和大道(常春藤),永和大道(常春藤)总站,480,,0,待甄别,BV09294351,BV09387963
海印桥南,海印桥南2,海印桥南,474,,0,待甄别,BV09413050,BV11688474
瑶台,瑶台1,瑶台,472,,0,待甄别,BV09246642,BV11472522
平沙,平沙1,平沙总站,459,,0,待甄别,BV09226062,BV10022326
平沙,平沙,平沙总站,459,,0,待甄别,BV11688453,BV10022326
九比村,九比村站,九比村总站,447,,0,待甄别,BV10014921,BV10418331
珠江医院,珠江医院总站,珠江医院,443,,0,待甄别,BV10021721,BV10681380
广园新村,广园新村总站,广园新村,437,,0,待甄别,BV10017947,BV11088410
大观路北,大观路北总站,大观路北,434,,0,待甄别,BV10021209,BV10847046
珠江医院,珠江医院总站2,珠江医院,427,,0,待甄别,BV09245917,BV10681380
市中医院,市中医院,市中医院2,425,,0,待甄别,BV09000996,BV09165635
黄登村,黄登村,黄登村总站,422,,0,待甄别,BV11311964,BV10017811
西境村,西境村,西境村,419,,0,待甄别,BV11403949,CL100002
客村立交,客村立交,客村立交2,416,,1,待甄别,BV11688553,BV09377599
山马塘,山马塘1,山马塘2,413,,1,待甄别,BV11596289,BV11596288
塘坑村,塘坑村站,塘坑村,411,,1,待甄别,BV10015851,CL100012
新水坑,新水坑总站,新水坑,407,,0,待甄别,BV11457591,BV10019958
瑶台,瑶台2,瑶台,396,,0,待甄别,BV09226113,BV11472522
集贤苑教师新村,集贤苑教师新村,集贤苑教师新村总站,380,,0,待甄别,BV11482216,BV10016195
白云路,白云路,白云路总站,378,,0,待甄别,BV11688476,BV10016236
员村,员村,员村总站,369,,0,待甄别,BV09242192,BV11492234
车陂,车陂,车陂,368,,9,待甄别,BV11693174,BV10014610
榄塘村,榄塘村总站,榄塘村,362,,0,待甄别,BV10023245,BV10408669
天平架,天平架,天平架总站,360,,0,待甄别,BV10013968,BV10015233
新华工业区,新华工业区2,新华工业区,358,,0,待甄别,BV11554334,BV09206741
泽德花苑,泽德花苑总站,泽德花苑,349,,0,待甄别,BV11298941,BV11688398
中山五路,中山五路,中山五路2,347,,4,待甄别,BV09241189,BV11596046
东镜路口,东镜路口,东镜路口,342,,1,待甄别,BV10014234,CL100013
玉树新村,玉树新村总站,玉树新村站,339,,0,待甄别,BV10021353,BV11412816
科丰路(科林路口),科丰路(科林路口)站,科丰路（科林路口）,338,,1,待甄别,BV09267391,CL100014
文德路,文德路2,文德路总站,337,,0,待甄别,BV09317748,BV10016117
中南花园,中南花园,中南花园总站,333,,0,待甄别,BV09208146,BV10394170
白云区政务中心,白云区政务中心,白云区政务中心2,330,,5,待甄别,BV09000545,BV09226078
白云区政务中心,白云区政务中心1,白云区政务中心2,330,,1,待甄别,BV09172232,BV09226078
长洲码头,长洲码头总站,长洲码头,322,,0,待甄别,BV10018078,BV10599113
国防大厦,国防大厦3,国防大厦1,321,,7,待甄别,BV09410279,BV09317153
国防大厦,国防大厦1,国防大厦,321,,1,待甄别,BV09317153,BV11688471
文德路,文德路,文德路总站,320,,0,待甄别,BV11688482,BV10016117
中山纪念堂,中山纪念堂4,中山纪念堂,312,,1,待甄别,BV09228990,BV09404373
区政府东门,区政府东门分站,区政府东门总站,307,,0,待甄别,BV11562298,BV10632191
南方大厦,南方大厦站,南方大厦站1,306,,0,待甄别,BV11688451,BV09192173
罗冲围客运,罗冲围客运站2,罗冲围客运站1,305,,1,待甄别,BV11675544,BV11629687
南方大厦,南方大厦站,南方大厦1,297,,0,应合并(近距离),BV11688451,BV09169831
蟹庄村,蟹庄村总站,蟹庄村,296,,0,应合并(近距离),BV10013853,BV11333204
国防大厦,国防大厦2,国防大厦1,294,,11,应合并(近距离),BV09178253,BV09317153
信和广场(昌岗中路),信和广场(昌岗中路)2,信和广场(昌岗中路),294,,13,应合并(近距离),BV09226101,BV10014647
黄沙码头,黄沙码头,黄沙码头,291,,0,应合并(近距离),BV10599083,BV09001391
南岗万达广场,南岗万达广场站,南岗万达广场总站,289,,0,应合并(近距离),BV09297715,BV11662007
