线路A,线路B,重叠站数,较短线站数,重叠%,起讫,分类
564路,夜100路,40,40,100,天河客运站总站|黄埔古村南广场总站 ⇄ 天河客运站总站|黄埔古村南广场总站,正线-变体（不合并）
714路,夜116路,24,25,96,花都北兴总站|钟落潭总站 ⇄ 花都北兴总站|钟落潭总站,正线-变体（不合并）
311路,夜133路,21,22,95,南浦岛总站|天河公交场总站 ⇄ 南浦岛总站|天河公交场总站,正线-变体（不合并）
970路,夜85路,20,21,95,嘉禾望岗总站|大朗夏边总站 ⇄ 嘉禾望岗总站|大朗夏边总站,正线-变体（不合并）
增城22路,增城22路/增22路,20,21,95,夏埔村总站|黄沙头村 ⇄ 夏埔村总站|黄沙头村,跨区或同走廊（不合并）
沥17B路,沥17B路区间,20,21,95,珑耀华府|芳村客运站 ⇄ 盐步老龙公园|芳村客运站,正线-变体（不合并）
花70路,花70路短线,20,21,95,清塘地铁站|荔红路总站 ⇄ 荔红路总站|马鞍山公园西门,正线-变体（不合并）
佛263路,佛263路短线,18,19,95,小塘车站|芳村大道西总站 ⇄ 大沥汽车客运站|芳村大道西总站,正线-变体（不合并）
704路,夜129路,34,36,94,石马总站|花都两龙总站 ⇄ 两龙总站|石马总站,正线-变体（不合并）
从11路,从12路,33,35,94,良口公交总站|莱茵汇 ⇄ 吕田公交总站|莱茵汇,跨区或同走廊（不合并）
花63路,花63路短线,29,31,94,新雅街道办站|芙蓉度假村站 ⇄ 雅瑶公交总站|高新技术学校路口,正线-变体（不合并）
增城10路,增夜2路,17,18,94,二汽石滩客运站|职教园区公交站 ⇄ 二汽石滩客运站|增城广场地铁总站,正线-变体（不合并）
广657路,广夜91路,16,17,94,西华村总站|金沙洲码头 ⇄ 西华村总站|金沙洲码头总站,正线-变体（不合并）
314路,佛314路,26,28,93,番禺宝墨园|顺德客运总站 ⇄ 宝墨园总站|顺德客运总站,疑似改名（可考虑合并）
从5路,从夜1路,36,39,92,图书馆总站|太平小学 ⇄ 图书馆总站|太平小学总站,正线-变体（不合并）
从14路,从19路,33,36,92,从化汽车站总站|高坣总站 ⇄ 从化汽车站总站|高坣总站,跨区或同走廊（不合并）
花68路白坭班车,花68路短线,33,36,92,兴仁汽车站|新雅街道办站 ⇄ 新雅街道办站|赤坭医院,正线-变体（不合并）
增城26A路,增城26路,23,25,92,凤晴苑总站|大敦综合市场 ⇄ 凤凰城交通中心|大敦综合市场,跨区或同走廊（不合并）
里14,里14路,12,13,92,地铁浔峰岗站|里水城区 ⇄ 地铁浔峰岗站|新材料C区,跨区或同走廊（不合并）
310路,310路高峰短线,11,12,92,南浦岛总站|招呼站 ⇄ 南浦岛总站|地铁大石站总站,正线-变体（不合并）
番151路,番夜4路,11,12,92,亚运城山海湾西门|地铁海傍站 ⇄ 地铁海傍站|地铁海傍站,正线-变体（不合并）
花68路,花68路白坭班车,42,46,91,兴仁汽车站|新雅街道办站 ⇄ 兴仁汽车站|新雅街道办站,正线-变体（不合并）
从14路,从19路,31,34,91,从化汽车站总站|高坣 ⇄ 从化汽车站总站|高坣,跨区或同走廊（不合并）
314路,佛314路,30,33,91,宝墨园总站|顺德客运总站 ⇄ 宝墨园总站|顺德客运总站,疑似改名（可考虑合并）
增城35路,增夜4路,29,32,91,214站|中新车站 ⇄ 中新车站|新塘站公交总站,正线-变体（不合并）
206路,夜29路,21,23,91,新滘东路总站|滘口客运站总站 ⇄ 江海大道中总站|滘口客运站总站,正线-变体（不合并）
夜25路,夜41路,21,23,91,中山大道东圃站|广州火车站总站 ⇄ 保税区总站|广州火车站总站,正线-变体（不合并）
206路,夜29路,20,22,91,新滘东路总站|滘口客运站总站 ⇄ 江海大道中|滘口汽车站总站,正线-变体（不合并）
番9路,番9路长线,28,31,90,南双玉村总站|雅居乐总站 ⇄ 碧桂东苑|雅居乐总站,正线-变体（不合并）
236路,夜69路,26,29,90,天平架总站|滘口客运站总站 ⇄ 滘口客运站总站|鳌鱼岗大街牌坊总站,正线-变体（不合并）
番185路,番191路,9,10,90,沙溪大道东总站|石壁一村 ⇄ 地铁厦滘站|沙溪大道东总站,跨区或同走廊（不合并）
空港快线2号线,空港快线2线,9,10,90,华师大厦酒店|白云机场T2航站楼 ⇄ 师大暨大|白云机场T2航站楼,正线-变体（不合并）
番17路,番17路长线,33,37,89,华工国际校区公交总站|洛溪南浦总站 ⇄ 南村中学|洛溪南浦总站,正线-变体（不合并）
花68路,花68路短线,32,36,89,兴仁汽车站|新雅街道办站 ⇄ 新雅街道办站|赤坭医院,正线-变体（不合并）
南沙63路A线,南沙63路B线,17,19,89,南沙儿童公园总站|南沙儿童公园总站 ⇄ 南沙儿童公园总站|南沙儿童公园总站,正线-变体（不合并）
南61路,南沙夜1路,8,9,89,万科海上明月总站|黄山鲁西门总站 ⇄ 万科海上明月总站|万科海上明月总站,正线-变体（不合并）
从5路,从夜1路,38,43,88,图书馆总站|太平小学 ⇄ 图书馆总站|太平镇政府,正线-变体（不合并）
126路,夜90路,36,41,88,凰岗总站|天河客运站总站 ⇄ 凰岗总站|天河客运站总站,正线-变体（不合并）
840路,夜94路,36,41,88,人和鹤龙七路总站|广州白云站公交总站 ⇄ 人和鹤龙七路总站|广州白云站公交总站,正线-变体（不合并）
南沙65路,番142路,28,32,88,市桥汽车站|潭洲车站 ⇄ 市桥汽车站|潭洲车站,跨区或同走廊（不合并）
551路,59路,22,25,88,广州火车东站总站|海珠客运站 ⇄ 广州火车东站总站|沥滘总站,跨区或同走廊（不合并）
793路,夜119路,21,24,88,司法学校总站|龙归城总站 ⇄ 司法学校|龙归城总站,正线-变体（不合并）
655A线,655路,55,63,87,三达路跨线桥首末站|大塘汽车客运站 ⇄ 三达路跨线桥首末站|大塘汽车客运站,正线-变体（不合并）
B18路,B18路快线,20,23,87,永泰集贤路总站|汇彩路北总站 ⇄ 永泰路口|汇彩路北总站,正线-变体（不合并）
夜103路,广565路,20,23,87,地铁江泰路站总站|穗盐路总站 ⇄ 瑞宝乡总站|穗盐路总站,正线-变体（不合并）
佛252路,里07路短线/佛里07路里广快线,13,15,87,地铁浔峰岗站|官窑车站 ⇄ 南方医科大学第七附属医院|地铁浔峰岗站,正线-变体（不合并）
广412路,广夜111路,13,15,87,中海锦城总站|中海锦城总站 ⇄ 中海锦城总站|中海锦城总站,正线-变体（不合并）
708路,夜106路,19,22,86,人和墟总站|花都富力金港城总站 ⇄ 人和墟总站|花都富力金港城总站,正线-变体（不合并）
花70路,花70路短线,18,21,86,清塘地铁站|茘红路总站 ⇄ 荔红路总站|马鞍山公园西门,正线-变体（不合并）
653路,夜112路,12,14,86,地铁沙贝站总站|地铁沙贝站总站 ⇄ 地铁沙贝站总站|沙凤一路西总站,正线-变体（不合并）
地铁接驳10A线,番125路,12,14,86,奥园城市天地总站|雄峰商城总站 ⇄ 奥园城市天地总站|碧桂东苑,正线-变体（不合并）
增城15路快线,增城16路,12,14,86,增城广场地铁总站|派潭客运站 ⇄ 增城广场地铁总站|白水寨总站,正线-变体（不合并）
352A路,夜130路,6,7,86,知识城南总站|窖吓村 ⇄ 知识城南总站|知识城南总站,正线-变体（不合并）
增城50A路,增城50路,6,7,86,叠溪花园|朱村地铁站 ⇄ 七彩澳游|叠溪花园总站,跨区或同走廊（不合并）
从18路,从901路,35,41,85,从化汽车站总站|玲洲总站 ⇄ 从化汽车站总站|楼星村委,跨区或同走廊（不合并）
夜25路,夜41路,17,20,85,东圃总站|广州火车站总站 ⇄ 保税区总站|广州火车站总站,正线-变体（不合并）
从16路,从7路,11,13,85,地铁东风站|水利学院 ⇄ 兴园南路北|地铁东风站,跨区或同走廊（不合并）
南沙1路,南沙62路短线,11,13,85,广州船坞总站|蕉门公交总站 ⇄ 南沙小学西门站|广州船坞总站,正线-变体（不合并）
桂12路,桂21路,11,13,85,环岛南路中|芳村西塱总站 ⇄ 保利心语花园|芳村西塱总站,跨区或同走廊（不合并）
655A线,655B路,53,63,84,三达路跨线桥首末站|大塘汽车客运站 ⇄ 三达路跨线桥首末站|鑫诺家具,正线-变体（不合并）
从5路长线,从夜1路,36,43,84,图书馆总站|广东工贸职业技术学院 ⇄ 图书馆总站|太平镇政府,正线-变体（不合并）
南沙65路,番142路,27,32,84,市桥汽车站|潭洲车站 ⇄ 市桥汽车站|潭洲市场站,跨区或同走廊（不合并）
551路,59路,21,25,84,广州火车东站总站|海珠客运站总站 ⇄ 广州火车东站总站|沥滘总站,跨区或同走廊（不合并）
541路,夜39路,34,41,83,恒宝广场总站|汇景新城东总站 ⇄ 恒宝广场总站|科韵路总站,正线-变体（不合并）
544路,夜32路,30,36,83,市儿童公园总站|纸厂总站 ⇄ 市儿童公园总站|鹤洞总站,正线-变体（不合并）
128路,夜31路,24,29,83,海印桥总站|珠岛花园总站 ⇄ 海印桥总站|珠岛花园总站,正线-变体（不合并）
310路,310路高峰短线,10,12,83,南浦岛总站|招呼站 ⇄ 南浦岛总站|地铁大石总站,正线-变体（不合并）
南1路B,南沙62路短线,10,12,83,广州船坞总站|海力花园站 ⇄ 南沙小学西门|广州船坞总站,正线-变体（不合并）
南沙1路,南沙62路短线,10,12,83,广州船坞总站|蕉门公交总站 ⇄ 南沙小学西门|广州船坞总站,正线-变体（不合并）
广132路,广夜58路,10,12,83,中山八路总站|白天鹅花园总站 ⇄ 中山八路总站|沙面新城站,正线-变体（不合并）
南43路,南60路,5,6,83,榄核公交总站|镇泰厂站 ⇄ 北斗渡口站1|榄核公交总站,跨区或同走廊（不合并）
花112路,花70路,5,6,83,毕村|荔红路总站 ⇄ 清塘地铁站|荔红路总站,跨区或同走廊（不合并）
花112路,花70路短线,5,6,83,毕村|荔红路总站 ⇄ 荔红路总站|马鞍山公园西门,正线-变体（不合并）
长洲岛1号线,长洲岛2号线,5,6,83,黄埔军校总站|黄埔军校总站 ⇄ 思亭路总站|黄埔军校总站,跨区或同走廊（不合并）
527路,夜120路,27,33,82,广州白云站公交总站|石溪总站 ⇄ 石溪总站|西湾路总站,正线-变体（不合并）
257路,高峰快线21路,14,17,82,天河客运站总站|广州火车站总站 ⇄ 天河客运站总站|广州火车站总站,正线-变体（不合并）
B6路,B6路快线,26,32,81,同和路总站|汇彩路总站 ⇄ 同和路总站|汇彩路,正线-变体（不合并）
南沙31路A线,南沙31路B线,17,21,81,蕉门公交总站|蕉门公交总站 ⇄ 蕉门公交总站|蕉门公交总站,正线-变体（不合并）
B1短线快车,B1路,13,16,81,体育中心|夏园站 ⇄ 体育中心|鹿鸣山总站,正线-变体（不合并）
从18路,从901路,33,41,80,从化汽车站总站|玲洲总站 ⇄ 从化汽车站|楼星村委,跨区或同走廊（不合并）
39路,夜10路,24,30,80,天河公交场总站|龙洞总站 ⇄ 东山口总站|龙洞总站,正线-变体（不合并）
78A路,夜53路,20,25,80,天慧路总站|天河北公交总站 ⇄ 体育中心总站|天慧路总站,正线-变体（不合并）
九王庙临时接驳线内环,九王庙临时接驳线外环,16,20,80,黄山鲁东门站|黄山鲁东门站 ⇄ 黄山鲁东门站|黄山鲁东门站,正线-变体（不合并）
番182路,番191路,8,10,80,周山岗总站|沙溪大道东总站 ⇄ 地铁厦滘站|沙溪大道东总站,跨区或同走廊（不合并）
