站点ID,记录中出现过的站名,bus_stops站名
BV11687883,龙溪立交南(坑口牌坊) / 龙溪立交南(坑口牌坊)站,龙溪立交南(坑口牌坊)
BV09364517,流花(南部战区总医院)站 / 流花(南部战区总医院),流花(南部战区总医院)站
BV09230320,东风东路(陵园西路口) / 东风东路(陵园西路口)2,东风东路(陵园西路口)2
BV09226120,越秀公园北门1 / 越秀公园北门 / 越秀公园北门站,越秀公园北门1
BV10461190,富力半岛花园1 / 富力半岛花园 / 富力半岛花园站,富力半岛花园1
BV11675544,罗冲围客运站 / 罗冲围客运站2 / 罗冲围客运站1,罗冲围客运站2
BV09319309,太和文化广场 / 太和文化广场2 / 太和文化广场站,太和文化广场2
BV09164965,三元里大道中 / 三元里大道中2 / 三元里大道中站,三元里大道中2
BV11467022,瑞和路北(开泰大道口) / 瑞和路北(开泰大道口)站,瑞和路北(开泰大道口)
BV11488846,新安路(摇田河大街口)站 / 新安路(摇田河大街口),新安路(摇田河大街口)
BV11466907,开泰大道(天泰二路口)站 / 开泰大道(天泰二路口),开泰大道(天泰二路口)
BV10885190,南云四路(南翔三路口)站 / 南云四路(南翔三路口),南云四路(南翔三路口)
BV10653043,科学大道(揽月路路口) / 科学大道(揽月路路口)站,科学大道(揽月路路口)站
BV11466897,开泰大道(东明三路口) / 开泰大道(东明三路口)站,开泰大道(东明三路口)
BV11467032,光谱西路(神舟路路口) / 光谱西路(神舟路路口)站,光谱西路(神舟路路口)
BV09226081,鹤龙四路(龙兴西路口)2 / 鹤龙四路(龙兴西路口),鹤龙四路(龙兴西路口)2
BV09245150,石井文化广场(石丰路)1 / 石井文化广场(石丰路),石井文化广场(石丰路)1
BV09187508,明珠科学园(万新大道) / 明珠科学园(万新大道)站,明珠科学园(万新大道)
BV11631975,番禺大道南(东怡新区) / 番禺大道南(东怡新区)站,番禺大道南(东怡新区)站
BV09370308,美的工业园(南珠大道)站 / 美的工业园(南珠大道),美的工业园(南珠大道)
BV11534205,空港大道(永和西街口) / 空港大道(永和西街口)站,空港大道(永和西街口)站
BV09343732,地铁海涌路站(海傍村)站 / 地铁海涌路站(海傍村),地铁海涌路站(海傍村)站
BV09192168,丹水坑 / 丹水坑2 / 丹水坑站2 / 丹水坑站,丹水坑站2
BV09376615,白云路 / 白云路1 / 白云路总站 / 白云路站,白云路1
BV09212864,人和墟 / 人和墟2 / 人和墟总站 / 人和墟站,人和墟2
BV09005177,广州大桥北(五羊邨) / 广州大桥北(五羊邨)站,广州大桥北(五羊邨)
BV09368222,梓元岗站 / 梓元岗 / 梓元岗2 / 梓元岗1,梓元岗2
BV09000538,富力环市西苑(西村) / 富力环市西苑(西村)站,富力环市西苑(西村)
BV09356487,西湾路2 / 西湾路 / 西湾路1 / 西湾路3,西湾路2
BV11688402,花地大道北(花地湾) / 花地大道北(花地湾)站,花地大道北(花地湾)站
BV09161217,新市墟站 / 新市墟 / 新市墟2 / 新市墟3,新市墟3
BV11091379,人民北路(站南路口) / 人民北路(站南路口)站,人民北路(站南路口)
BV09215180,文明路2 / 文明路1 / 文明路站 / 文明路,文明路1
BV09226101,信和广场(昌岗中路)2 / 信和广场(昌岗中路),信和广场(昌岗中路)2
BV09330409,龙溪中路(江北路口)站 / 龙溪中路(江北路口),龙溪中路(江北路口)站
BV09006142,开发区加速器产业园区 / 开发区加速器产业园区站,开发区加速器产业园区
BV11690286,开创大道(连云路口) / 开创大道(连云路口)站,开创大道(连云路口)
BV11688158,开创大道(广汕路口) / 开创大道(广汕路口)站,开创大道(广汕路口)
BV09002104,开创大道(科翔路口) / 开创大道(科翔路口)站,开创大道(科翔路口)
BV11690285,开创大道(香雪山南) / 开创大道(香雪山南)站,开创大道(香雪山南)站
BV11466898,开泰大道(新阳路口) / 开泰大道(新阳路口)站,开泰大道(新阳路口)
BV09005644,开泰大道(科丰路口)站 / 开泰大道(科丰路口),开泰大道(科丰路口)站
BV11268996,大观中路(新塘大街)站 / 大观中路(新塘大街),大观中路(新塘大街)站
BV09065655,开源大道(云信路口) / 开源大道(云信路口)站,开源大道(云信路口)
BV09237474,开泰大道(开源路口)站 / 开泰大道(开源路口),开泰大道(开源路口)站
BV10846994,开泰大道(瑞和路口) / 开泰大道(瑞和路口)站,开泰大道(瑞和路口)
BV11488674,香雪大道(下中路口)站 / 香雪大道(下中路口),香雪大道(下中路口)
BV11488680,萝岭路(永顺大道口)站 / 萝岭路(永顺大道口),萝岭路(永顺大道口)
BV11467038,科翔路(尖塔山路口) / 科翔路(尖塔山路口)站,科翔路(尖塔山路口)
BV11360164,知识城南(凤湖四路) / 知识城南(凤湖四路)站,知识城南(凤湖四路)
BV09062309,开发大道(骏成路口) / 开发大道(骏成路口)站,开发大道(骏成路口)站
BV11483390,兴龙大道(迳头三社) / 兴龙大道(迳头三社)站,兴龙大道(迳头三社)站
BV11483400,永龙大道(七木桥村) / 永龙大道(七木桥村)站,永龙大道(七木桥村)站
BV10653034,永顺大道(民兵路口)站 / 永顺大道(民兵路口),永顺大道(民兵路口)站
BV09003168,新庄二路(新安路口)站 / 新庄二路(新安路口),新庄二路(新安路口)站
BV11075868,科学大道(映日路口)站 / 科学大道(映日路口),科学大道(映日路口)站
BV09400279,黄埔低空经济创新中心站 / 黄埔低空经济创新中心,黄埔低空经济创新中心站
BV11467010,大观北路(广汕路口) / 大观北路(广汕路口)站,大观北路(广汕路口)
BV11478033,三元里大道(桂花岗)1 / 三元里大道(桂花岗),三元里大道(桂花岗)1
BV09343742,科学城路口1 / 科学城路口 / 科学城路口站1,科学城路口站1
BV09062348,广从一路(荟贤路口) / 广从一路(荟贤路口)站,广从一路(荟贤路口)
BV11388327,广东工贸职业技术学院 / 广东工贸职业技术学院站,广东工贸职业技术学院
BV11632942,黄边北路(广云路口)站 / 黄边北路(广云路口),黄边北路(广云路口)站
BV11568713,高增一村(方华公路) / 高增一村(方华公路)站,高增一村(方华公路)
BV11497597,光谱东路(新乐路口) / 光谱东路(新乐路口)站,光谱东路(新乐路口)站
BV11471222,从化大桥(向阳大车)站 / 从化大桥(向阳大车),从化大桥(向阳大车)站
BV09283807,南华工贸高级技工学校 / 南华工贸高级技工学校站,南华工贸高级技工学校站
BV09088846,广州南沙国际物流中心站 / 广州南沙国际物流中心,广州南沙国际物流中心站
BV09066536,凤凰大道(市南路口) / 凤凰大道(市南路口)站,凤凰大道(市南路口)
BV11459792,星海中学(光明北路) / 星海中学(光明北路)站,星海中学(光明北路)
BV10019883,何贤医院(清河东路) / 何贤医院(清河东路)站,何贤医院(清河东路)
BV10019882,邮电大厦(清河东路) / 邮电大厦(清河东路)站,邮电大厦(清河东路)
BV09376612,中山图书馆站 / 中山图书馆 / 中山图书馆2,中山图书馆2
BV09394368,广东电视台 / 广东电视台2 / 广东电视台1,广东电视台2
BV09230318,动物园南门1 / 动物园南门 / 动物园南门站,动物园南门1
BV09382002,广州大道中1 / 广州大道中 / 广州大道中2,广州大道中1
BV09360317,新滘西路口 / 新滘西路口站 / 新滘西路口2,新滘西路口2
BV09226089,机场立交北 / 机场立交北3 / 机场立交北1,机场立交北1
BV09413161,猎德大道北站 / 猎德大道北 / 猎德大道北2,猎德大道北2
BV09176205,广外(白云山西门)1 / 广外(白云山西门)2,广外(白云山西门)1
BV11547976,新华工业区1 / 新华工业区2 / 新华工业区,新华工业区1
BV11261928,海珠广场(侨光西) / 海珠广场(侨光西)站,海珠广场(侨光西)站
BV11279582,江夏(黄石东路中)站 / 江夏(黄石东路中),江夏(黄石东路中)站
BV11448834,东山口(东华北路) / 东山口(东华北路)站,东山口(东华北路)
BV09172231,棠下(三元里大道) / 棠下(三元里大道)1,棠下(三元里大道)1
BV09091929,省荣军医院(荣校)2 / 省荣军医院(荣校),省荣军医院(荣校)2
BV09242540,西门口(中山六路) / 西门口(中山六路)站,西门口(中山六路)
BV10798986,花地大道(海南村)站 / 花地大道(海南村),花地大道(海南村)站
BV11619527,护林路(镇东路口)站 / 护林路(镇东路口),护林路(镇东路口)站
BV09322857,东山口(东华北路) / 东山口(东华北路)1,东山口(东华北路)1
BV11481835,石潭路(南新大街) / 石潭路(南新大街)站,石潭路(南新大街)
BV11691317,邮电大厦(德兴路) / 邮电大厦(德兴路)站,邮电大厦(德兴路)站
BV09302751,丹山村(桥兴大道) / 丹山村(桥兴大道)站,丹山村(桥兴大道)站
BV10017211,迎龙路(华快桥底)站 / 迎龙路(华快桥底),迎龙路(华快桥底)站
BV09066404,广汕路(科景路口) / 广汕路(科景路口)站,广汕路(科景路口)
BV11488681,香雪大道图书馆北门站 / 香雪大道图书馆北门,香雪大道图书馆北门
BV11314256,布岭路(新业路口) / 布岭路(新业路口)站,布岭路(新业路口)
BV11467025,科翔路(香山路口) / 科翔路(香山路口)站,科翔路(香山路口)
BV11689178,护林路(茅岗路口) / 护林路(茅岗路口)站,护林路(茅岗路口)
BV09299181,中山六院知识城院区站 / 中山六院知识城院区,中山六院知识城院区站
BV10016021,省中医院大学城医院 / 省中医院大学城医院站,省中医院大学城医院
BV09062310,航空轮胎大科学中心站 / 航空轮胎大科学中心,航空轮胎大科学中心站
BV11488675,二中(科学城校区) / 二中(科学城校区)站,二中(科学城校区)
BV11118500,广园路(科韵路口) / 广园路(科韵路口)站,广园路(科韵路口)站
BV09242695,大沥路(田心村口) / 大沥路(田心村口)站,大沥路(田心村口)
BV11687942,棠下(三元里大道) / 棠下(三元里大道)站,棠下(三元里大道)
BV10808747,流溪河国家森林公园 / 流溪河国家森林公园站,流溪河国家森林公园
BV10945933,珠江街(珠江二路)站 / 珠江街(珠江二路),珠江街(珠江二路)
BV11694276,珠江街(灵新大道) / 珠江街(灵新大道)站,珠江街(灵新大道)
BV11689816,成丰生态园农业公园 / 成丰生态园农业公园站,成丰生态园农业公园站
BV09353781,珠江街卫生服务中心 / 珠江街卫生服务中心站,珠江街卫生服务中心站
BV10020699,天益村(南沙大道)站 / 天益村(南沙大道),天益村(南沙大道)站
BV09175714,太石村(南沙大道) / 太石村(南沙大道)站,太石村(南沙大道)
BV11688119,南区公园(福德路) / 南区公园(福德路)站,南区公园(福德路)
BV11507780,广铁一中亚运城小学 / 广铁一中亚运城小学站,广铁一中亚运城小学
BV09087077,中山六路 / 中山六路站2 / 中山六路站,中山六路站2
BV09385884,市中医院2 / 市中医院 / 市中医院站2,市中医院站2
BV09368726,五山路口站 / 五山路口 / 五山路口站1,五山路口站1
BV09304066,花地大道站 / 花地大道 / 花地大道站1,花地大道站1
BV09313214,人民日报广东分社 / 人民日报广东分社站2,人民日报广东分社站2
BV09078984,地铁南沙客运港站2 / 地铁南沙客运港站1,地铁南沙客运港站2
BV09359515,江湾桥南1 / 江湾桥南 / 江湾桥南站,江湾桥南1
BV09406264,敦和 / 敦和2 / 敦和站 / 敦和3,敦和2
BV09377600,客村立交 / 客村立交1 / 客村立交站,客村立交1
BV09026856,敦和 / 敦和3 / 敦和站 / 敦和2,敦和3
BV09226094,越秀公园 / 越秀公园2 / 越秀公园站,越秀公园2
BV11596047,越秀公园3 / 越秀公园 / 越秀公园站,越秀公园3
BV09319720,越秀南路 / 越秀南路2 / 越秀南路站,越秀南路2
BV09293281,南方医院 / 南方医院1 / 南方医院2,南方医院1
BV09209209,小坪 / 小坪2 / 小坪站 / 小坪1,小坪2
BV11621851,基立下道1 / 基立下道 / 基立下道站,基立下道1
BV09317596,赤岗路口2 / 赤岗路口 / 赤岗路口站,赤岗路口2
BV09366519,五山路口2 / 五山路口站 / 五山路口,五山路口2
BV09230294,东风西路3 / 东风西路 / 东风西路站,东风西路3
BV09317154,西湾和苑站 / 西湾和苑 / 西湾和苑2,西湾和苑2
BV09399597,同和站 / 同和 / 同和1 / 同和2,同和1
BV09199575,南方医院2 / 南方医院 / 南方医院1,南方医院2
BV09411494,广州体院 / 广州体院1 / 广州体院站,广州体院1
BV09178253,国防大厦2 / 国防大厦 / 国防大厦1,国防大厦2
BV10539406,华侨医院(潭村) / 华侨医院(潭村)站,华侨医院(潭村)
BV09285360,员村山顶 / 员村山顶3 / 员村山顶站,员村山顶3
BV09317153,国防大厦1 / 国防大厦 / 国防大厦2,国防大厦1
BV09243523,中山大学 / 中山大学2 / 中山大学站,中山大学2
BV10013684,赤岗(江海大道) / 赤岗(江海大道)站,赤岗(江海大道)站
BV11688341,大塘(江海大道) / 大塘(江海大道)站,大塘(江海大道)站
BV09097374,豪景花园 / 豪景花园1 / 豪景花园2,豪景花园1
BV09412828,濂泉路口 / 濂泉路口2 / 濂泉路口站,濂泉路口2
BV09373903,云台花园 / 云台花园1 / 云台花园2,云台花园1
BV09407139,金碧花园 / 金碧花园1 / 金碧花园站,金碧花园1
BV09226097,解放中路 / 解放中路2 / 解放中路站,解放中路2
BV09317631,华海大厦 / 华海大厦1 / 华海大厦站,华海大厦1
BV09314790,革新路口 / 革新路口1 / 革新路口站,革新路口1
BV09160624,鹭江1 / 鹭江站 / 鹭江 / 鹭江2,鹭江1
BV11688574,广州电大麓湖校区 / 广州电大麓湖校区站,广州电大麓湖校区
BV09317749,雕塑公园1 / 雕塑公园 / 雕塑公园站,雕塑公园1
BV09226091,解放南路2 / 解放南路 / 解放南路站,解放南路2
BV09413050,海印桥南 / 海印桥南站 / 海印桥南2,海印桥南2
BV09178250,西塱1 / 西塱站 / 西塱2 / 西塱,西塱1
BV11448516,黄埔广附实验学校站 / 黄埔广附实验学校,黄埔广附实验学校站
BV09266313,越秀公园 / 越秀公园1 / 越秀公园2,越秀公园1
BV09238796,和平新村 / 和平新村2 / 和平新村1,和平新村2
BV09165291,清湖村口2 / 清湖村口1 / 清湖村口,清湖村口2
BV11688460,广外附设外语学校 / 广外附设外语学校站,广外附设外语学校
BV09348371,天河2 / 天河1 / 天河 / 天河站,天河1
BV09226063,联和2 / 联和1 / 联和 / 联和站,联和2
BV09344864,武警医院 / 武警医院2 / 武警医院站,武警医院2
BV09341157,燕塘企业3 / 燕塘企业 / 燕塘企业站,燕塘企业3
BV11412826,广州科技创新基地 / 广州科技创新基地站,广州科技创新基地
BV09209215,新丰路口站 / 新丰路口2 / 新丰路口,新丰路口2
BV10411318,华峰路(红旗村) / 华峰路(红旗村)站,华峰路(红旗村)站
BV09368639,新丰路(布岭村)站 / 新丰路(布岭村),新丰路(布岭村)站
BV11687886,天河软件园管委会站 / 天河软件园管委会,天河软件园管委会
BV09237172,广州市第二老人院 / 广州市第二老人院站,广州市第二老人院站
BV09303618,城市规划展览中心站 / 城市规划展览中心,城市规划展览中心
BV11360195,合生湖山国际峰景 / 合生湖山国际峰景站,合生湖山国际峰景
BV10014102,旺旺食品有限公司 / 旺旺食品有限公司站,旺旺食品有限公司
BV09199072,鹤洞路西1 / 鹤洞路西站 / 鹤洞路西,鹤洞路西1
BV09226497,广州白云站东广场 / 广州白云站东广场站,广州白云站东广场站
BV09369963,金沙洲路1 / 金沙洲路 / 金沙洲路2,金沙洲路1
BV11250297,海珠湿地公园南门站 / 海珠湿地公园南门,海珠湿地公园南门站
BV11345927,南方医院江高院区 / 南方医院江高院区站,南方医院江高院区站
BV09226087,清湖村口2 / 清湖村口1 / 清湖村口,清湖村口1
BV09225302,广州白云站西广场站 / 广州白云站西广场,广州白云站西广场
BV09081166,凌塘村站1 / 凌塘村站2 / 凌塘村1,凌塘村站1
BV09195621,广州空港博览中心站 / 广州空港博览中心,广州空港博览中心
BV11420061,广东电子信息中心站 / 广东电子信息中心,广东电子信息中心站
BV09314048,雅居乐·雍景豪园 / 雅居乐·雍景豪园站,雅居乐·雍景豪园站
BV11175921,桂城长者颐乐中心 / 桂城长者颐乐中心站,桂城长者颐乐中心
BV11131945,华南新城南区正门站 / 华南新城南区正门,华南新城南区正门站
BV11374292,中船龙穴基地宿舍站 / 中船龙穴基地宿舍,中船龙穴基地宿舍站
BV09306751,五涌(龙穴大道)站 / 五涌(龙穴大道),五涌(龙穴大道)
BV11613514,中科院明珠科学园站 / 中科院明珠科学园,中科院明珠科学园站
BV10015908,东涌村(工业路)站 / 东涌村(工业路),东涌村(工业路)站
BV09347034,石基村(市南路)站 / 石基村(市南路),石基村(市南路)站
BV11403799,万科府前花园北门站 / 万科府前花园北门,万科府前花园北门站
BV09302147,灵山岛便民分中心站 / 灵山岛便民分中心,灵山岛便民分中心站
BV11510978,合景誉山国际南门站 / 合景誉山国际南门,合景誉山国际南门站
BV11504203,新塘牛仔城(A) / 新塘牛仔城(A)站,新塘牛仔城(A)
BV11575475,荔新路口(新塘) / 荔新路口(新塘)站,荔新路口(新塘)站
BV11689663,光辉建材家具城东站 / 光辉建材家具城东,光辉建材家具城东
BV09026393,广惠高速仙村出口站 / 广惠高速仙村出口,广惠高速仙村出口
BV10019847,大罗村(市广路) / 大罗村(市广路)站,大罗村(市广路)站
BV11689914,罗家村(市莲路) / 罗家村(市莲路)站,罗家村(市莲路)站
BV11507782,广铁一中天峰中学站 / 广铁一中天峰中学,广铁一中天峰中学站
BV11346508,高新技术学校路口 / 高新技术学校路口站,高新技术学校路口
BV11346058,经济贸易职业学校站 / 经济贸易职业学校,经济贸易职业学校
BV11688483,大沙头游船码头站 / 大沙头游船码头,大沙头游船码头
BV09351558,黄石路1 / 黄石路 / 黄石路总站,黄石路1
BV09278983,大沙头游船码头1 / 大沙头游船码头,大沙头游船码头1
BV10014572,锦城花园总站(东风东) / 锦城花园,锦城花园总站(东风东)
BV11312274,省中医二沙分院 / 省中医二沙分院站,省中医二沙分院
BV11279606,东莞庄一横路口 / 东莞庄一横路口站,东莞庄一横路口站
BV11688420,机场路岗贝路口 / 机场路岗贝路口站,机场路岗贝路口
BV11688392,槎头(西槎路) / 槎头(西槎路)站,槎头(西槎路)
BV10798983,广州市培英中学 / 广州市培英中学站,广州市培英中学站
BV11651211,萧岗齐富二横路站 / 萧岗齐富二横路,萧岗齐富二横路
BV11688557,广园天寿路口东 / 广园天寿路口东站,广园天寿路口东
BV10714251,开发区立交桥北站 / 开发区立交桥北,开发区立交桥北站
BV09000496,开发大道立交东站 / 开发大道立交东,开发大道立交东
BV09027377,太和(谢家庄) / 太和(谢家庄)站,太和(谢家庄)
BV11091382,南部战区总医院 / 南部战区总医院站,南部战区总医院站
BV11688552,科韵路棠安路口 / 科韵路棠安路口站,科韵路棠安路口
BV10015078,市桥汽车站西门站 / 市桥汽车站西门,市桥汽车站西门站
BV11688053,市桥汽车站东门 / 市桥汽车站东门站,市桥汽车站东门站
BV09343704,龙眼洞森林公园 / 龙眼洞森林公园站,龙眼洞森林公园
BV11164943,欧洲工业园路口站 / 欧洲工业园路口,欧洲工业园路口站
BV11164942,华润涂料捷信厂站 / 华润涂料捷信厂,华润涂料捷信厂站
BV11164939,丰田合诚配件厂站 / 丰田合诚配件厂,丰田合诚配件厂站
BV09200513,区行政服务中心站 / 区行政服务中心,区行政服务中心站
BV09072664,碧山村 / 碧山村站1 / 碧山村1,碧山村1
BV11383668,开发区技工学校站 / 开发区技工学校,开发区技工学校
BV11477697,高普路天盈路口站 / 高普路天盈路口,高普路天盈路口
BV11477694,高普路软件路口站 / 高普路软件路口,高普路软件路口
BV11279608,黄埔区青少年宫 / 黄埔区青少年宫站,黄埔区青少年宫
BV11687896,黄埔区儿童公园 / 黄埔区儿童公园站,黄埔区儿童公园站
BV10847161,萝岗会议中心西站 / 萝岗会议中心西,萝岗会议中心西站
BV11600785,高普路高科路口站 / 高普路高科路口,高普路高科路口
BV09355191,市政务服务中心站 / 市政务服务中心,市政务服务中心站
BV09112239,江高(大松岗) / 江高(大松岗)站,江高(大松岗)
BV09133625,东平村钟屋路口 / 东平村钟屋路口站,东平村钟屋路口站
BV11482216,集贤苑教师新村 / 集贤苑教师新村站,集贤苑教师新村
BV09393818,悦顺装饰材料城站 / 悦顺装饰材料城,悦顺装饰材料城站
BV11688124,星光汇摩登百货 / 星光汇摩登百货站,星光汇摩登百货
BV11688159,雅居乐锦城花园 / 雅居乐锦城花园站,雅居乐锦城花园
BV11488079,江高镇人民政府站 / 江高镇人民政府,江高镇人民政府
BV11166353,北太路柏塘村口站 / 北太路柏塘村口,北太路柏塘村口
BV10021372,民营科技园门口站 / 民营科技园门口,民营科技园门口
BV11484183,郭塘西岭工业区站 / 郭塘西岭工业区,郭塘西岭工业区
BV09201159,广州市档案馆南站 / 广州市档案馆南,广州市档案馆南
BV09242691,白云湖公园北门站 / 白云湖公园北门,白云湖公园北门
BV11352902,龙星村3 / 龙星村2 / 龙星村1,龙星村1
BV11688720,大沥摩托车市场 / 大沥摩托车市场站,大沥摩托车市场
BV09209167,软件信息园路口 / 软件信息园路口站,软件信息园路口站
BV11441883,大学城北商业区 / 大学城北商业区站,大学城北商业区站
BV11689965,中海万锦豪园东 / 中海万锦豪园东站,中海万锦豪园东站
BV11688143,华南碧桂园东门 / 华南碧桂园东门站,华南碧桂园东门
BV09105491,鸡抱沙(四涌)站 / 鸡抱沙(四涌),鸡抱沙(四涌)站
BV10326926,新同丰小学路口站 / 新同丰小学路口,新同丰小学路口站
BV10018457,鱼窝头社区中心站 / 鱼窝头社区中心,鱼窝头社区中心站
BV09043179,美彩家纺产业园站 / 美彩家纺产业园,美彩家纺产业园
BV09117350,星河东悦湾北门站 / 星河东悦湾北门,星河东悦湾北门站
BV11589148,区政务服务中心站 / 区政务服务中心,区政务服务中心站
BV10017432,广州外国语学校站 / 广州外国语学校,广州外国语学校站
BV10024035,南沙资讯科技园站 / 南沙资讯科技园,南沙资讯科技园站
BV09302146,灵山岛儿童公园 / 灵山岛儿童公园站,灵山岛儿童公园站
BV09239834,阿里巴巴菜鸟园 / 阿里巴巴菜鸟园站,阿里巴巴菜鸟园站
BV09304539,区健康管理中心 / 区健康管理中心站,区健康管理中心
BV09313067,区人力资源市场 / 区人力资源市场站,区人力资源市场
BV09317748,文德路 / 文德路2 / 文德路站,文德路2
BV09368674,梓元岗1 / 梓元岗站 / 梓元岗,梓元岗1
BV11596048,迎宾馆 / 迎宾馆2 / 迎宾馆站,迎宾馆2
BV09398681,文明路站 / 文明路 / 文明路2,文明路2
BV09185490,农讲所站 / 农讲所 / 农讲所2,农讲所2
BV09337403,石路基 / 石路基站 / 石路基2,石路基2
BV09233339,荔湾路2 / 荔湾路1 / 荔湾路,荔湾路1
BV09162064,彩虹桥2 / 彩虹桥 / 彩虹桥1,彩虹桥2
BV09387753,石牌村 / 石牌村4 / 石牌村站,石牌村4
BV10405865,天河南2 / 天河南 / 天河南站,天河南2
BV09184531,康乐村1 / 康乐村 / 康乐村站,康乐村1
BV09271075,陈家祠 / 陈家祠2 / 陈家祠1,陈家祠1
BV09317752,仓边路1 / 仓边路 / 仓边路2,仓边路1
BV09382089,如意坊 / 如意坊2 / 如意坊站,如意坊2
BV09227578,盘福路1 / 盘福路 / 盘福路站,盘福路1
BV09291511,车陂南 / 车陂南1 / 车陂南站,车陂南1
BV09168358,远景路1 / 远景路 / 远景路站,远景路1
BV09408943,黄石路 / 黄石路2 / 黄石路站,黄石路2
BV09292564,东晖路 / 东晖路(夏园农民公寓),东晖路(夏园农民公寓)
BV11596288,山马塘1 / 山马塘2 / 山马塘,山马塘2
BV11480682,省第二中医院 / 省第二中医院站,省第二中医院
BV09226124,体育中心东门1 / 体育中心东门,体育中心东门1
BV09243520,锦绣香江北门站 / 锦绣香江北门,锦绣香江北门站
BV09219091,体育中心东门 / 体育中心东门2,体育中心东门2
BV09302573,员村四横路口 / 员村四横路口2,员村四横路口2
BV11688540,员村四横路口 / 员村四横路口站,员村四横路口
BV11687945,三元里大道中 / 三元里大道中站,三元里大道中站
BV09000485,三元里大道北站 / 三元里大道北,三元里大道北
BV09242191,五山学生公寓 / 五山学生公寓站,五山学生公寓
BV09355604,省农干科干院 / 省农干科干院站,省农干科干院
BV10714269,科学院地化所 / 科学院地化所站,科学院地化所
BV10014009,车陂高架桥侧 / 车陂高架桥侧站,车陂高架桥侧站
BV10714278,广州本田公司 / 广州本田公司站,广州本田公司站
BV10714260,太平洋工业区站 / 太平洋工业区,太平洋工业区站
BV11133521,新康花园北门站 / 新康花园北门,新康花园北门站
BV09329720,白云山管理局 / 白云山管理局2,白云山管理局2
BV09006431,富力半岛花园 / 富力半岛花园站,富力半岛花园
