候选,BV站点ID
保税区(酒博城)总 ↔ 保税区总  [保税区（酒博城）总站],BV09385630 / BV10022078
太和总#2 ↔ 太和(民营科技园)总  [太和（民营科技园）总站],BV10019031 / BV11459336
太和总#2 ↔ 太和(民营科技园)总  [太和（民营科技园）总站],BV10019031 / BV11459336
华观路(火炉山森林公园) ↔ 华观路  [华观路（火炉山森林公园）],BV10405622 / BV11689185
人和总 ↔ 人和(恒充充电站)总  [人和（恒充充电站）总站],BV11648878 / BV09293649
上水 ↔ 上水(广州老人院)  [上水],BV11623811 / BV11621267
钟落潭总 ↔ 钟落潭(白云星汇城)总  [钟落潭（白云星汇城）总站],BV09344048 / BV09298089
龙兴西路#2 ↔ 龙兴西路#1  [龙兴西路],BV09180357 / BV11171945
龙兴西路#1 ↔ 龙兴西路#2  [龙兴西路],BV11171945 / BV09180357
华观路(火炉山森林公园) ↔ 华观路  [华观路（火炉山森林公园）],BV10405622 / BV11689185
荔勤南路 ↔ 荔勤南路(崇文四路口)  [荔勤南路],BV09149595 / BV09308841
空港大道(永和西街口) ↔ 空港大道#1  [空港大道],BV09063602 / BV11621666
兴民路总 ↔ 兴民路(天汇广场)总  [兴民路（天汇广场）总站],BV10828446 / BV09408342
地铁沙溪 ↔ 地铁沙溪站(E1出口)  [地铁沙溪站],BV10019645 / BV11604375
永顺大道(新业路口) ↔ 永顺大道  [永顺大道],BV09076741 / BV11690259
黄埔东路(石化南路)总 ↔ 黄埔东路总站(石化南路)  [黄埔东路（石化南路）总站],BV09065963 / BV09065518
旧黄茅#1 ↔ 旧黄茅#2  [旧黄茅],BV11632515 / BV11352959
五丰新村#1 ↔ 五丰新村#2  [五丰新村],BV11632962 / BV11491323
红联#1 ↔ 红联#2  [红联站],BV11596280 / BV11596279
佛岗村委 ↔ 佛岗村委(八号仓东)  [佛岗村委（八号仓东）站],BV11332852 / BV09303681
芳村大道西总 ↔ 芳村大道西(滘口汽车站)总  [芳村大道西（滘口客运站）总站],BV11035137 / BV11648146
祈丰路(金洲地铁) ↔ 祈丰路  [祈丰路（金洲地铁站）],BV11156027 / BV11206071
医谷 ↔ 医谷(视联科创)  [医谷（视联科创）],BV09099102 / BV09305436
石基村站(市南路) ↔ 石基村(市南路)  [石基村（市南路）],BV11624360 / BV09347034
南沙疾控中心(启慧学校) ↔ 南沙疾控中心  [南沙疾控中心（启慧学校）],BV11477167 / BV11520060
二湾路口(大岗供电所) ↔ 二湾路口  [二湾路口（大岗供电所）],BV11419871 / BV10014935
石岗村(亚运大道) ↔ 石岗村#1  [石岗村（亚运大道）],BV09200218 / BV09197108
和平村 ↔ 和平村(招呼站)  [和平村],BV11119399 / BV11409762
地铁海涌路站(海傍村) ↔ 地铁海涌路  [地铁海涌路站（海傍村）],BV09343732 / BV09350053
石岗村(亚运大道) ↔ 石岗村#1  [石岗村（亚运大道）],BV09200218 / BV09197108
广医二院南门(番禺院区) ↔ 广医二院(番禺院区)南门  [广医二院南门（番禺院区）],BV11168024 / BV11483408
华景新城(南华路) ↔ 华景新城#2  [华景新城],BV10019865 / BV11578800
北环路(圃结街路口) ↔ 北环路  [北环路（渔人码头）],BV11627531 / BV09357587
雅居乐总#2 ↔ 雅居乐(城南源著)总  [雅居乐（城南源著）总站],BV11384377 / BV10581069
德贤路(时代雅苑) ↔ 德贤路  [德贤路],BV11633334 / BV10435949
德贤路 ↔ 德贤路(时代雅苑)  [德贤路],BV10435949 / BV11633334
永乐村(水渭路口) ↔ 永乐村  [永乐村],BV10432262 / BV10016657
碧桂园(会所) ↔ 碧桂园#3  [碧桂园（漾翠苑）],BV11615670 / BV09041130
